layer,x1,y1,x2,y2,width,height,area,grid_r,grid_c
metal1,18.085,23.885,18.255,24.055,0.16999999999999815,0.16999999999999815,0.02889999999999937,2,1
metal1,7.045,22.865000000000002,7.215,23.035,0.16999999999999993,0.16999999999999815,0.028899999999999672,2,0
metal1,17.165,22.865000000000002,17.335,23.035,0.1700000000000017,0.16999999999999815,0.028899999999999974,2,1
metal1,7.965,22.185,8.135,22.355,0.16999999999999993,0.1700000000000017,0.028900000000000276,2,0
metal1,7.045,20.485,7.215,20.655,0.16999999999999993,0.1700000000000017,0.028900000000000276,2,0
metal1,11.185,20.485,11.355,20.655,0.16999999999999993,0.1700000000000017,0.028900000000000276,2,1
metal1,12.105,20.485,12.275,20.655,0.16999999999999993,0.1700000000000017,0.028900000000000276,2,1
metal1,9.805,20.145,9.975,20.315,0.16999999999999993,0.1700000000000017,0.028900000000000276,2,0
metal1,7.965,19.805,8.135,19.975,0.16999999999999993,0.1700000000000017,0.028900000000000276,1,0
metal1,10.265,19.465,10.435,19.635,0.16999999999999993,0.1700000000000017,0.028900000000000276,1,1
metal1,10.725,18.105,10.895,18.275000000000002,0.16999999999999993,0.1700000000000017,0.028900000000000276,1,1
metal1,8.425,17.765,8.595,17.935,0.16999999999999993,0.16999999999999815,0.028899999999999672,1,0
metal1,11.645,17.765,11.815,17.935,0.16999999999999993,0.16999999999999815,0.028899999999999672,1,1
metal1,8.885,17.425,9.055,17.595,0.16999999999999993,0.16999999999999815,0.028899999999999672,1,0
metal1,12.105,17.425,12.275,17.595,0.16999999999999993,0.16999999999999815,0.028899999999999672,1,1
metal1,13.945,16.745,14.115,16.915,0.16999999999999993,0.16999999999999815,0.028899999999999672,1,1
metal1,10.265,15.725,10.435,15.895,0.16999999999999993,0.16999999999999993,0.028899999999999974,1,1
metal1,12.105,15.725,12.275,15.895,0.16999999999999993,0.16999999999999993,0.028899999999999974,1,1
metal1,9.805,15.045,9.975,15.215,0.16999999999999993,0.16999999999999993,0.028899999999999974,1,0
metal1,11.185,15.045,11.355,15.215,0.16999999999999993,0.16999999999999993,0.028899999999999974,1,1
metal1,7.965,13.005,8.135,13.175,0.16999999999999993,0.16999999999999993,0.028899999999999974,1,0
metal1,7.045,11.985,7.215,12.155000000000001,0.16999999999999993,0.1700000000000017,0.028900000000000276,1,0
metal1,17.165,11.985,17.335,12.155000000000001,0.1700000000000017,0.1700000000000017,0.02890000000000058,1,1
metal1,18.085,11.305,18.255,11.475,0.16999999999999815,0.16999999999999993,0.028899999999999672,1,1
metal2,5.5200000000000005,24.240000000000002,21.16,24.72,15.64,0.4799999999999969,7.507199999999951,2,0
metal2,18.025000000000002,24.04,18.315,24.085,0.28999999999999915,0.045000000000001705,0.013050000000000455,2,1
metal2,18.93,24.04,19.25,24.1,0.3200000000000003,0.060000000000002274,0.019200000000000744,2,1
metal2,18.025000000000002,23.900000000000002,19.25,24.04,1.2249999999999979,0.13999999999999702,0.17149999999999604,2,1
metal2,18.025000000000002,23.855,18.315,23.900000000000002,0.28999999999999915,0.045000000000001705,0.013050000000000455,2,1
metal2,18.93,23.84,19.25,23.900000000000002,0.3200000000000003,0.060000000000002274,0.019200000000000744,2,1
metal2,6.97,22.82,7.29,23.080000000000002,0.3200000000000003,0.26000000000000156,0.08320000000000058,2,0
metal2,17.09,22.82,17.41,23.080000000000002,0.3200000000000003,0.26000000000000156,0.08320000000000058,2,1
metal2,7.905,22.34,8.195,22.385,0.29000000000000004,0.045000000000001705,0.013050000000000497,2,0
metal2,12.030000000000001,22.34,12.35,22.400000000000002,0.3199999999999985,0.060000000000002274,0.019200000000000637,2,1
metal2,7.905,22.2,12.35,22.34,4.444999999999999,0.14000000000000057,0.6223000000000024,2,0
metal2,7.905,22.155,8.195,22.2,0.29000000000000004,0.04499999999999815,0.013049999999999467,2,0
metal2,12.030000000000001,22.14,12.35,22.2,0.3199999999999985,0.05999999999999872,0.019199999999999502,2,1
metal2,5.5200000000000005,21.52,21.16,22.0,15.64,0.4800000000000004,7.507200000000007,2,0
metal2,4.21,20.64,4.53,20.7,0.3200000000000003,0.05999999999999872,0.019199999999999606,2,0
metal2,6.985,20.64,7.275,20.685,0.29000000000000004,0.04499999999999815,0.013049999999999467,2,0
metal2,4.21,20.5,7.275,20.64,3.0650000000000004,0.14000000000000057,0.4291000000000018,2,0
metal2,4.21,20.44,4.53,20.5,0.3200000000000003,0.05999999999999872,0.019199999999999606,2,0
metal2,6.985,20.455000000000002,7.275,20.5,0.29000000000000004,0.04499999999999815,0.013049999999999467,2,0
metal2,11.125,20.64,11.415000000000001,20.685,0.2900000000000009,0.04499999999999815,0.013049999999999506,2,1
metal2,11.57,20.64,11.89,20.7,0.3200000000000003,0.05999999999999872,0.019199999999999606,2,1
metal2,11.125,20.5,11.89,20.64,0.7650000000000006,0.14000000000000057,0.10710000000000051,2,1
metal2,11.125,20.455000000000002,11.415000000000001,20.5,0.2900000000000009,0.04499999999999815,0.013049999999999506,2,1
metal2,11.57,20.44,11.89,20.5,0.3200000000000003,0.05999999999999872,0.019199999999999606,2,1
metal2,12.045,20.64,12.335,20.685,0.2900000000000009,0.04499999999999815,0.013049999999999506,2,1
metal2,17.09,20.64,17.41,20.7,0.3200000000000003,0.05999999999999872,0.019199999999999606,2,1
metal2,12.045,20.5,17.41,20.64,5.365,0.14000000000000057,0.7511000000000031,2,1
metal2,12.045,20.455000000000002,12.335,20.5,0.2900000000000009,0.04499999999999815,0.013049999999999506,2,1
metal2,17.09,20.44,17.41,20.5,0.3200000000000003,0.05999999999999872,0.019199999999999606,2,1
metal2,9.745000000000001,20.115000000000002,10.035,20.345,0.28999999999999915,0.22999999999999687,0.0666999999999989,2,0
metal2,7.905,19.96,8.195,20.005,0.29000000000000004,0.04499999999999815,0.013049999999999467,1,0
metal2,8.81,19.96,9.13,20.02,0.3200000000000003,0.05999999999999872,0.019199999999999606,1,0
metal2,9.82,19.96,9.96,20.115000000000002,0.14000000000000057,0.15500000000000114,0.021700000000000247,1,0
metal2,7.905,19.82,9.96,19.96,2.0550000000000006,0.14000000000000057,0.28770000000000123,1,0
metal2,7.905,19.775000000000002,8.195,19.82,0.29000000000000004,0.04499999999999815,0.013049999999999467,1,0
metal2,8.81,19.76,9.13,19.82,0.3200000000000003,0.05999999999999872,0.019199999999999606,1,0
metal2,8.35,19.62,8.67,19.68,0.3200000000000003,0.05999999999999872,0.019199999999999606,1,0
metal2,10.205,19.62,10.495000000000001,19.665,0.2900000000000009,0.04499999999999815,0.013049999999999506,1,1
metal2,8.35,19.48,10.495000000000001,19.62,2.1450000000000014,0.14000000000000057,0.3003000000000014,1,0
metal2,8.35,19.42,8.67,19.48,0.3200000000000003,0.05999999999999872,0.019199999999999606,1,0
metal2,10.205,19.435,10.495000000000001,19.48,0.2900000000000009,0.045000000000001705,0.013050000000000537,1,1
metal2,5.5200000000000005,18.8,21.16,19.28,15.64,0.4800000000000004,7.507200000000007,1,0
metal2,10.665000000000001,18.075,10.955,18.305,0.28999999999999915,0.23000000000000043,0.06669999999999993,1,1
metal2,7.890000000000001,17.92,8.21,17.98,0.3200000000000003,0.05999999999999872,0.019199999999999606,1,0
metal2,8.365,17.92,8.655,17.965,0.28999999999999915,0.04499999999999815,0.013049999999999427,1,0
metal2,7.890000000000001,17.78,8.655,17.92,0.7649999999999988,0.14000000000000057,0.10710000000000026,1,0
metal2,10.74,17.92,10.88,18.075,0.14000000000000057,0.15499999999999758,0.02169999999999975,1,1
metal2,11.585,17.92,11.875,17.965,0.28999999999999915,0.04499999999999815,0.013049999999999427,1,1
metal2,10.74,17.78,11.875,17.92,1.1349999999999998,0.14000000000000057,0.15890000000000062,1,1
metal2,7.890000000000001,17.72,8.21,17.78,0.3200000000000003,0.060000000000002274,0.019200000000000744,1,0
metal2,8.365,17.735,8.655,17.78,0.28999999999999915,0.045000000000001705,0.013050000000000455,1,0
metal2,11.585,17.735,11.875,17.78,0.28999999999999915,0.045000000000001705,0.013050000000000455,1,1
metal2,8.81,17.38,9.13,17.64,0.3200000000000003,0.26000000000000156,0.08320000000000058,1,0
metal2,12.030000000000001,17.38,12.35,17.64,0.3199999999999985,0.26000000000000156,0.08320000000000011,1,1
metal2,13.885,16.9,14.175,16.945,0.2900000000000009,0.045000000000001705,0.013050000000000537,1,1
metal2,16.17,16.9,16.490000000000002,16.96,0.3200000000000003,0.060000000000002274,0.019200000000000744,1,1
metal2,13.885,16.76,16.490000000000002,16.9,2.605000000000002,0.13999999999999702,0.36469999999999253,1,1
metal2,13.885,16.715,14.175,16.76,0.2900000000000009,0.045000000000001705,0.013050000000000537,1,1
metal2,16.17,16.7,16.490000000000002,16.76,0.3200000000000003,0.060000000000002274,0.019200000000000744,1,1
metal2,5.5200000000000005,16.080000000000002,21.16,16.56,15.64,0.4799999999999969,7.507199999999951,1,0
